id|Commune|Latitude|Longitude
26692147|La Crau|43.1497034|6.0737053
26692149|Sucy-en-Brie|48.7711323|2.5221284
26692150|Bagnolet|48.8688199|2.4173658
26692151|Nemours|48.2680260|2.6953079
26692152|Vertou|47.1685211|-1.4722242
26692153|Bezons|48.9250016|2.2105491
26692155|Rive-de-Gier|45.5288401|4.6187386
26692157|Thonon-les-Bains|46.3731303|6.4779448
26692159|Pont-Sainte-Maxence|49.3012483|2.6045838
26692162|Saint-Martin-Boulogne|50.7258932|1.6338670
26692167|Tarare|45.8942555|4.4371374
26692169|Amboise|47.4110351|0.9836980
26692172|Villeneuve-d'Ascq|50.6193174|3.1314002
26692173|Outreau|50.7036916|1.5845684
26692174|Rochefort|45.9366592|-0.9616399
26692175|Bruay-sur-l'Escaut|50.3972770|3.5379105
26692178|Guipavas|48.4346366|-4.4009790
26692180|Fécamp|49.7577729|0.3748910
26692183|Dunkerque|51.0347708|2.3772525
26692186|L'Isle-Adam|49.1125294|2.2186324
26692188|Carrières-sur-Seine|48.9134112|2.1779083
26692190|Saint-Fons|45.7084910|4.8532593
26692192|Aurillac|44.9285441|2.4433101
26692194|Colomiers|43.6121001|1.3282149
26692198|Le Raincy|48.8986666|2.5155626
26692201|Morsang-sur-Orge|48.6641415|2.3527728
26692204|Orvault|47.2711217|-1.6232060
26692207|Forbach|49.1862822|6.8958562
26692208|Saint-Max|48.7005548|6.2074377
26692209|Mons-en-Barœul|50.6428547|3.1093516
26692210|Vendôme|47.7934453|1.0662256
26692211|Avion|50.4126128|2.8343891
26692212|Montigny-lès-Metz|49.0999832|6.1530410
26692213|Les Clayes-sous-Bois|48.8214478|1.9871825
26692214|Bernay|49.0902278|0.5989157
26692215|Valence|44.9332277|4.8920811
26692216|Montreuil|48.8623357|2.4412184
26692219|Le Perreux-sur-Marne|48.8406270|2.5077111
26692222|Pontivy|48.0647729|-2.9675702
26692227|Saint-Omer|50.7515771|2.2534183
26692228|Chantilly|49.1931736|2.4636686
26692229|Hazebrouck|50.7226113|2.5360331
26692230|Tulle|45.2678347|1.7706797
26692231|Montgeron|48.7038873|2.4605107
26692232|Villeneuve-Loubet|43.6579947|7.1217592
26692233|Allauch|43.3351381|5.4832687
26692234|Floirac|44.8327000|-0.5208230
26692235|Bondues|50.7034622|3.0921638
26692236|Chenôve|47.2932000|5.0030800
26692237|Bolbec|49.5739091|0.4742448
26692238|Castelnaudary|43.3192021|1.9533495
26692239|Saint-Gilles|43.6770070|4.4318488
26692242|Istres|43.5139051|4.9884323
26692247|Saumur|47.2596224|-0.0785177
26692250|Le Kremlin-Bicêtre|48.8125893|2.3570028
26692252|Douai|50.3675677|3.0804641
26692254|Saint-Chamond|45.4748298|4.5098046
26692255|Val-de-Reuil|49.2716839|1.2128992
26692256|Gonfreville-l'Orcher|49.5039262|0.2338372
26692257|Arnouville|48.9892126|2.4202824
26692259|Cournon-d'Auvergne|45.7392306|3.1962804
26692260|Les Ponts-de-Cé|47.4286962|-0.5270662
26692261|Lourdes|43.0940904|-0.0464975
26692262|Toul|48.6762624|5.8941759
26692263|Sainte-Maxime|43.3087100|6.6377140
26692266|Châlons-en-Champagne|48.9566218|4.3628851
26692268|Pau|43.2957547|-0.3685668
26692272|Aubagne|43.2924385|5.5703031
26692274|Villeparisis|48.9393440|2.6176193
26692275|Nogent-sur-Oise|49.2720766|2.4695910
26692276|Montivilliers|49.5456435|0.1924180
26692277|Saint-Michel-sur-Orge|48.6302735|2.3027478
26692278|Chaumont|48.1111324|5.1395849
26692279|Bois-Guillaume|49.4704819|1.1199476
26692280|Saint-Amand-les-Eaux|50.4491519|3.4281142
26692281|Champs-sur-Marne|48.8526892|2.6027219
26692283|Salon-de-Provence|43.6405237|5.0980225
26692284|Meyzieu|45.7764637|5.0044767
26692286|La Ricamarie|45.4037177|4.3660765
26692288|Fontenay-aux-Roses|48.7911052|2.2870373
26692291|Yerres|48.7168110|2.4879753
26692293|Pierrefitte-sur-Seine|48.9637589|2.3601022
26692295|Villetaneuse|48.9611722|2.3439698
26692298|Bonneuil-sur-Marne|48.7737116|2.4869009
26692299|Antibes|43.5812868|7.1262071
26692300|Louviers|49.2157245|1.1646335
26692301|Niort|46.3239233|-0.4646064
26692303|Sarcelles|48.9960813|2.3796245
26692306|Le Chambon-Feugerolles|45.3966333|4.3247719
